IP地址,端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.76.159.146,8443,TRUE,HKG,Asia Pacific,Hong Kong,61,24.61 
47.242.174.27,2083,TRUE,HKG,Asia Pacific,Hong Kong,60,21.60 
47.76.159.146,2083,TRUE,HKG,Asia Pacific,Hong Kong,61,18.26 
47.243.70.186,8443,TRUE,HKG,Asia Pacific,Hong Kong,61,17.51 
8.210.175.109,2053,TRUE,HKG,Asia Pacific,Hong Kong,56,17.12 
47.242.42.153,2096,TRUE,HKG,Asia Pacific,Hong Kong,57,17.05 
8.210.207.214,2096,TRUE,HKG,Asia Pacific,Hong Kong,64,16.33 
47.76.225.255,2053,TRUE,HKG,Asia Pacific,Hong Kong,63,16.15 
8.210.207.214,2087,TRUE,HKG,Asia Pacific,Hong Kong,68,15.07 
47.238.40.58,8443,TRUE,HKG,Asia Pacific,Hong Kong,70,14.68 
8.217.66.3,2096,TRUE,HKG,Asia Pacific,Hong Kong,60,13.90 
8.210.55.134,2053,TRUE,HKG,Asia Pacific,Hong Kong,57,13.54 
47.238.40.58,2053,TRUE,HKG,Asia Pacific,Hong Kong,69,12.88 
8.210.207.214,2053,TRUE,HKG,Asia Pacific,Hong Kong,57,12.86 
8.210.55.134,8443,TRUE,HKG,Asia Pacific,Hong Kong,67,11.47 
8.210.207.214,8443,TRUE,HKG,Asia Pacific,Hong Kong,87,11.37 
8.210.207.214,2083,TRUE,HKG,Asia Pacific,Hong Kong,58,11.22 
47.238.5.0,2096,TRUE,HKG,Asia Pacific,Hong Kong,57,11.20 
8.210.21.65,2053,TRUE,HKG,Asia Pacific,Hong Kong,270,10.79 
47.243.60.150,2053,TRUE,HKG,Asia Pacific,Hong Kong,60,10.49 
47.243.234.9,2087,TRUE,HKG,Asia Pacific,Hong Kong,75,10.38 
47.238.40.58,2087,TRUE,HKG,Asia Pacific,Hong Kong,63,9.98 
47.243.90.180,2083,TRUE,HKG,Asia Pacific,Hong Kong,60,9.97 
47.242.7.162,8443,TRUE,HKG,Asia Pacific,Hong Kong,56,9.93 
8.217.250.222,2053,TRUE,HKG,Asia Pacific,Hong Kong,269,9.74 
8.210.63.130,2087,TRUE,HKG,Asia Pacific,Hong Kong,63,8.65 
47.243.5.154,2083,TRUE,HKG,Asia Pacific,Hong Kong,65,8.60 
8.218.142.253,2083,TRUE,HKG,Asia Pacific,Hong Kong,57,8.59 
47.76.225.255,8443,TRUE,HKG,Asia Pacific,Hong Kong,67,8.36 
47.76.225.255,2087,TRUE,HKG,Asia Pacific,Hong Kong,68,7.96 
47.243.169.63,2087,TRUE,HKG,Asia Pacific,Hong Kong,56,7.58 
47.243.234.9,2083,TRUE,HKG,Asia Pacific,Hong Kong,100,7.53 
47.76.225.255,2083,TRUE,HKG,Asia Pacific,Hong Kong,68,7.36 
8.210.63.130,2096,TRUE,HKG,Asia Pacific,Hong Kong,59,7.14 
8.218.142.253,2053,TRUE,HKG,Asia Pacific,Hong Kong,61,7.08 
47.242.125.241,2087,TRUE,HKG,Asia Pacific,Hong Kong,64,6.94 
47.243.173.187,8443,TRUE,HKG,Asia Pacific,Hong Kong,73,6.69 
8.218.85.128,2083,TRUE,HKG,Asia Pacific,Hong Kong,58,6.55 
47.237.95.146,2083,TRUE,SIN,Asia Pacific,Singapore,283,6.46 
47.237.95.146,8443,TRUE,SIN,Asia Pacific,Singapore,280,6.44 
47.238.5.0,2083,TRUE,HKG,Asia Pacific,Hong Kong,69,6.26 
47.236.254.120,8443,TRUE,SIN,Asia Pacific,Singapore,274,6.19 
47.236.145.85,2096,TRUE,SIN,Asia Pacific,Singapore,308,6.19 
47.242.7.162,2087,TRUE,HKG,Asia Pacific,Hong Kong,61,6.17 
8.218.122.55,2096,TRUE,HKG,Asia Pacific,Hong Kong,103,6.02 
8.210.21.65,2096,TRUE,HKG,Asia Pacific,Hong Kong,231,6.01 
47.243.18.199,2083,TRUE,HKG,Asia Pacific,Hong Kong,73,5.94 
47.243.173.187,2087,TRUE,HKG,Asia Pacific,Hong Kong,71,5.91 
47.236.145.85,2083,TRUE,SIN,Asia Pacific,Singapore,286,5.85 
47.236.253.41,2087,TRUE,SIN,Asia Pacific,Singapore,294,5.84 
47.242.7.162,2096,TRUE,HKG,Asia Pacific,Hong Kong,57,5.83 
8.219.78.1,2087,TRUE,SIN,Asia Pacific,Singapore,282,5.78 
47.243.60.150,2083,TRUE,HKG,Asia Pacific,Hong Kong,59,5.74 
8.210.65.1,2083,TRUE,HKG,Asia Pacific,Hong Kong,59,5.66 
8.222.174.108,2083,TRUE,SIN,Asia Pacific,Singapore,274,5.62 
8.218.142.253,2087,TRUE,HKG,Asia Pacific,Hong Kong,62,5.58 
47.243.169.63,2083,TRUE,HKG,Asia Pacific,Hong Kong,61,5.52 
47.236.180.24,2087,TRUE,SIN,Asia Pacific,Singapore,278,5.52 
8.210.21.65,8443,TRUE,HKG,Asia Pacific,Hong Kong,196,5.50 
8.210.119.11,2087,TRUE,HKG,Asia Pacific,Hong Kong,123,5.49 
47.242.234.127,2053,TRUE,HKG,Asia Pacific,Hong Kong,64,5.46 
47.236.171.205,2053,TRUE,SIN,Asia Pacific,Singapore,276,5.42 
8.219.78.1,2083,TRUE,SIN,Asia Pacific,Singapore,286,5.38 
47.245.114.163,2083,TRUE,SIN,Asia Pacific,Singapore,298,5.37 
47.236.17.193,2096,TRUE,SIN,Asia Pacific,Singapore,273,5.37 
47.236.164.215,2053,TRUE,SIN,Asia Pacific,Singapore,272,5.36 
47.242.174.27,8443,TRUE,HKG,Asia Pacific,Hong Kong,66,5.27 
47.236.180.24,2096,TRUE,SIN,Asia Pacific,Singapore,282,5.24 
47.236.164.215,8443,TRUE,SIN,Asia Pacific,Singapore,274,5.18 
8.218.211.17,8443,TRUE,HKG,Asia Pacific,Hong Kong,143,5.18 
47.236.165.25,2083,TRUE,SIN,Asia Pacific,Singapore,311,5.16 
47.243.18.199,8443,TRUE,HKG,Asia Pacific,Hong Kong,65,5.11 
47.236.145.85,443,TRUE,SIN,Asia Pacific,Singapore,297,5.09 
47.236.167.231,2053,TRUE,SIN,Asia Pacific,Singapore,275,5.03 
8.218.48.92,2053,TRUE,HKG,Asia Pacific,Hong Kong,56,5.00 
47.242.125.241,8443,TRUE,HKG,Asia Pacific,Hong Kong,70,4.99 
47.242.174.27,2053,TRUE,HKG,Asia Pacific,Hong Kong,62,4.93 
47.236.237.90,2096,TRUE,SIN,Asia Pacific,Singapore,279,4.92 
47.237.121.38,2053,TRUE,SIN,Asia Pacific,Singapore,282,4.91 
47.237.95.140,2087,TRUE,SIN,Asia Pacific,Singapore,282,4.88 
47.236.102.102,2053,TRUE,SIN,Asia Pacific,Singapore,280,4.84 
47.236.130.95,2087,TRUE,SIN,Asia Pacific,Singapore,278,4.84 
47.236.145.85,8443,TRUE,SIN,Asia Pacific,Singapore,295,4.83 
47.236.164.215,2083,TRUE,SIN,Asia Pacific,Singapore,269,4.80 
47.236.117.48,2083,TRUE,SIN,Asia Pacific,Singapore,261,4.78 
47.242.174.27,2096,TRUE,HKG,Asia Pacific,Hong Kong,56,4.76 
47.243.5.154,2053,TRUE,HKG,Asia Pacific,Hong Kong,68,4.75 
47.238.6.58,2053,TRUE,HKG,Asia Pacific,Hong Kong,56,4.74 
47.236.145.85,2053,TRUE,SIN,Asia Pacific,Singapore,286,4.73 
47.243.18.199,2096,TRUE,HKG,Asia Pacific,Hong Kong,74,4.73 
47.76.178.146,2096,TRUE,HKG,Asia Pacific,Hong Kong,59,4.71 
47.236.232.148,8443,TRUE,SIN,Asia Pacific,Singapore,272,4.63 
8.222.237.131,2083,TRUE,SIN,Asia Pacific,Singapore,282,4.61 
47.236.117.48,8443,TRUE,SIN,Asia Pacific,Singapore,295,4.60 
47.236.205.188,2053,TRUE,SIN,Asia Pacific,Singapore,281,4.60 
8.210.146.108,2096,TRUE,HKG,Asia Pacific,Hong Kong,184,4.59 
47.236.117.48,2053,TRUE,SIN,Asia Pacific,Singapore,276,4.58 
47.236.205.188,2083,TRUE,SIN,Asia Pacific,Singapore,280,4.58 
47.236.145.85,2087,TRUE,SIN,Asia Pacific,Singapore,280,4.57 
47.236.237.90,2087,TRUE,SIN,Asia Pacific,Singapore,278,4.55 
47.236.170.225,2053,TRUE,SIN,Asia Pacific,Singapore,286,4.55 
8.219.110.81,2083,TRUE,SIN,Asia Pacific,Singapore,274,4.44 
47.242.107.109,2096,TRUE,HKG,Asia Pacific,Hong Kong,81,4.43 
47.236.253.41,2053,TRUE,SIN,Asia Pacific,Singapore,304,4.41 
47.243.107.148,8443,TRUE,HKG,Asia Pacific,Hong Kong,483,4.39 
47.242.174.27,2087,TRUE,HKG,Asia Pacific,Hong Kong,64,4.38 
8.218.8.142,8443,TRUE,HKG,Asia Pacific,Hong Kong,475,4.38 
8.219.222.98,2053,TRUE,SIN,Asia Pacific,Singapore,282,4.31 
47.238.6.58,2087,TRUE,HKG,Asia Pacific,Hong Kong,63,4.29 
47.236.167.231,2083,TRUE,SIN,Asia Pacific,Singapore,267,4.28 
8.219.50.180,2083,TRUE,SIN,Asia Pacific,Singapore,279,4.26 
8.218.143.10,2053,TRUE,HKG,Asia Pacific,Hong Kong,58,4.26 
47.236.9.152,2083,TRUE,SIN,Asia Pacific,Singapore,287,4.20 
47.237.8.82,2053,TRUE,SIN,Asia Pacific,Singapore,276,4.18 
8.219.50.180,2087,TRUE,SIN,Asia Pacific,Singapore,274,4.18 
47.243.90.180,8443,TRUE,HKG,Asia Pacific,Hong Kong,65,4.15 
47.236.237.90,2083,TRUE,SIN,Asia Pacific,Singapore,288,4.08 
47.76.32.108,2087,TRUE,HKG,Asia Pacific,Hong Kong,323,4.03 
47.236.117.48,2087,TRUE,SIN,Asia Pacific,Singapore,297,4.02 
47.237.125.8,2083,TRUE,SIN,Asia Pacific,Singapore,277,4.00 
47.236.130.95,8443,TRUE,SIN,Asia Pacific,Singapore,277,3.99 
47.237.81.112,2087,TRUE,SIN,Asia Pacific,Singapore,285,3.96 
47.237.10.1,2083,TRUE,SIN,Asia Pacific,Singapore,278,3.96 
47.238.49.85,80,TRUE,SIN,Asia Pacific,Singapore,66,3.95 
47.236.117.48,443,TRUE,SIN,Asia Pacific,Singapore,276,3.90 
47.236.117.48,2096,TRUE,SIN,Asia Pacific,Singapore,299,3.89 
47.239.12.227,80,TRUE,SIN,Asia Pacific,Singapore,73,3.88 
47.237.83.20,2083,TRUE,SIN,Asia Pacific,Singapore,276,3.88 
8.219.222.98,2083,TRUE,SIN,Asia Pacific,Singapore,270,3.87 
47.236.202.91,2087,TRUE,SIN,Asia Pacific,Singapore,282,3.87 
8.219.66.156,2053,TRUE,NRT,Asia Pacific,Tokyo,370,3.86 
47.237.84.173,2087,TRUE,SIN,Asia Pacific,Singapore,284,3.86 
47.243.173.187,2053,TRUE,HKG,Asia Pacific,Hong Kong,57,3.86 
47.236.167.231,8443,TRUE,SIN,Asia Pacific,Singapore,274,3.85 
8.210.175.109,2087,TRUE,HKG,Asia Pacific,Hong Kong,58,3.85 
47.238.52.160,80,TRUE,SIN,Asia Pacific,Singapore,72,3.84 
8.218.142.253,8443,TRUE,HKG,Asia Pacific,Hong Kong,78,3.84 
47.237.94.140,2087,TRUE,SIN,Asia Pacific,Singapore,294,3.83 
47.237.81.112,2053,TRUE,SIN,Asia Pacific,Singapore,287,3.83 
8.219.153.237,2053,TRUE,NRT,Asia Pacific,Tokyo,346,3.83 
47.76.254.36,80,TRUE,SIN,Asia Pacific,Singapore,61,3.82 
47.237.121.38,2087,TRUE,SIN,Asia Pacific,Singapore,276,3.82 
47.236.237.90,8443,TRUE,SIN,Asia Pacific,Singapore,276,3.78 
8.210.101.157,8443,TRUE,HKG,Asia Pacific,Hong Kong,93,3.78 
8.219.66.156,8443,TRUE,NRT,Asia Pacific,Tokyo,369,3.78 
8.219.222.98,2087,TRUE,SIN,Asia Pacific,Singapore,275,3.76 
47.238.48.153,80,TRUE,SIN,Asia Pacific,Singapore,66,3.75 
8.210.192.93,2083,TRUE,HKG,Asia Pacific,Hong Kong,213,3.73 
47.76.243.157,80,TRUE,SIN,Asia Pacific,Singapore,62,3.72 
47.242.171.94,2053,TRUE,HKG,Asia Pacific,Hong Kong,183,3.71 
47.238.44.224,80,TRUE,SIN,Asia Pacific,Singapore,61,3.70 
8.219.66.156,2096,TRUE,NRT,Asia Pacific,Tokyo,360,3.68 
47.236.202.91,2053,TRUE,SIN,Asia Pacific,Singapore,277,3.64 
8.210.192.93,8443,TRUE,HKG,Asia Pacific,Hong Kong,175,3.64 
47.237.84.173,2083,TRUE,SIN,Asia Pacific,Singapore,302,3.64 
47.245.114.163,2087,TRUE,SIN,Asia Pacific,Singapore,292,3.62 
8.218.132.209,80,TRUE,SIN,Asia Pacific,Singapore,90,3.61 
8.222.204.128,443,TRUE,SIN,Asia Pacific,Singapore,284,3.58 
47.236.167.231,2087,TRUE,SIN,Asia Pacific,Singapore,283,3.55 
47.236.232.148,2087,TRUE,SIN,Asia Pacific,Singapore,284,3.55 
47.242.59.216,2096,TRUE,HKG,Asia Pacific,Hong Kong,287,3.55 
47.243.203.119,2083,TRUE,HKG,Asia Pacific,Hong Kong,70,3.54 
47.236.130.95,2053,TRUE,SIN,Asia Pacific,Singapore,293,3.52 
47.237.125.8,2087,TRUE,SIN,Asia Pacific,Singapore,269,3.51 
47.237.8.82,2083,TRUE,SIN,Asia Pacific,Singapore,272,3.50 
8.219.110.81,2096,TRUE,SIN,Asia Pacific,Singapore,279,3.49 
47.236.202.91,2083,TRUE,SIN,Asia Pacific,Singapore,279,3.49 
47.238.36.145,80,TRUE,SIN,Asia Pacific,Singapore,56,3.49 
8.219.153.237,2087,TRUE,NRT,Asia Pacific,Tokyo,355,3.48 
47.237.8.82,2096,TRUE,SIN,Asia Pacific,Singapore,273,3.48 
47.236.9.152,2053,TRUE,SIN,Asia Pacific,Singapore,272,3.47 
47.237.8.82,8443,TRUE,SIN,Asia Pacific,Singapore,263,3.43 
47.243.60.150,2096,TRUE,HKG,Asia Pacific,Hong Kong,67,3.42 
47.237.0.31,2053,TRUE,SIN,Asia Pacific,Singapore,283,3.42 
47.237.84.173,2053,TRUE,SIN,Asia Pacific,Singapore,292,3.41 
8.210.66.190,2083,TRUE,HKG,Asia Pacific,Hong Kong,133,3.38 
47.236.118.216,2087,TRUE,SIN,Asia Pacific,Singapore,299,3.36 
47.236.202.91,8443,TRUE,SIN,Asia Pacific,Singapore,277,3.33 
47.242.107.109,2083,TRUE,HKG,Asia Pacific,Hong Kong,62,3.33 
8.210.192.93,2096,TRUE,HKG,Asia Pacific,Hong Kong,184,3.31 
47.242.54.157,8443,TRUE,HKG,Asia Pacific,Hong Kong,199,3.31 
47.236.253.41,8443,TRUE,SIN,Asia Pacific,Singapore,279,3.30 
47.76.178.146,2053,TRUE,HKG,Asia Pacific,Hong Kong,70,3.29 
47.237.84.173,8443,TRUE,SIN,Asia Pacific,Singapore,281,3.27 
47.237.84.173,2096,TRUE,SIN,Asia Pacific,Singapore,270,3.26 
